label,periods,invested_periods,coverage,avg_selected_count,cumulative_return,cumulative_excess_return,CAGR,MDD,Sharpe,avg_return,avg_excess,invested_avg_return,invested_avg_excess,hit_excess,hit_positive,label_base,year
ranker_top3_no_gate_2016,12,12,1.0,3.0,-0.023151433389269394,-0.15401494551916695,-0.023151433389269394,-0.07618908177324979,-0.22312649724302477,-0.0016491674472569743,-0.013742415063433622,-0.0016491674472569743,-0.013742415063433622,0.08333333333333333,0.5,ranker_top3_no_gate,2016
ranker_top3_no_gate_2017,12,12,1.0,3.0,0.16085576009590463,-0.05311935179628924,0.16085576009590463,-0.07397189918496294,1.2719207551312388,0.013099533640364968,-0.004307806263770554,0.013099533640364968,-0.004307806263770554,0.4166666666666667,0.6666666666666666,ranker_top3_no_gate,2017
ranker_top3_no_gate_2018,12,12,1.0,3.0,-0.16996698197130855,0.007908777120007038,-0.16996698197130855,-0.17434427316699708,-1.396775393951177,-0.014784936836700827,0.000970609620703469,-0.014784936836700827,0.000970609620703469,0.5,0.25,ranker_top3_no_gate,2018
ranker_top3_no_gate_2019,12,12,1.0,3.0,0.1971175133619818,-0.03639272963585172,0.1971175133619818,-0.06723652371946143,1.3613738259971506,0.01585177779709016,-0.002855720079691189,0.01585177779709016,-0.002855720079691189,0.5833333333333334,0.6666666666666666,ranker_top3_no_gate,2019
ranker_top3_no_gate_2020,12,12,1.0,3.0,0.39125781236128687,0.028261855845791217,0.39125781236128687,-0.1714550375602596,1.1518843598250577,0.03221422702821715,0.0030070867431589237,0.03221422702821715,0.0030070867431589237,0.5833333333333334,0.6666666666666666,ranker_top3_no_gate,2020
ranker_top3_no_gate_2021,12,12,1.0,3.0,0.172233348514095,0.17317692829510833,0.172233348514095,-0.06388083746027184,1.5360364301360407,0.013765296374267042,0.013695902430472163,0.013765296374267042,0.013695902430472163,0.6666666666666666,0.75,ranker_top3_no_gate,2021
ranker_top3_no_gate_2022,12,12,1.0,3.0,0.07855046907491636,0.19062516775693017,0.07855046907491636,-0.07740573391524952,0.6309690560604544,0.00697870889917043,0.015040618609315838,0.00697870889917043,0.015040618609315838,0.75,0.5,ranker_top3_no_gate,2022
ranker_top3_no_gate_2023,12,12,1.0,3.0,-0.03348209410517,-0.17343493021925915,-0.03348209410517,-0.08559103831783399,-0.2298485526218166,-0.002290530394618105,-0.015451191581523764,-0.002290530394618105,-0.015451191581523764,0.3333333333333333,0.5,ranker_top3_no_gate,2023
ranker_top3_no_gate_2024,12,12,1.0,3.0,0.22071502636548845,0.09379314684968176,0.22071502636548845,-0.07599200305220521,1.1589157855286758,0.018027370326725797,0.008227934294878043,0.018027370326725797,0.008227934294878043,0.4166666666666667,0.5,ranker_top3_no_gate,2024
ranker_top3_no_gate_2025,12,12,1.0,3.0,0.8554935128575551,-0.034903295444714044,0.8554935128575551,-0.04082980688695703,2.9021766292801803,0.05464872217602326,-0.002346657853586446,0.05464872217602326,-0.002346657853586446,0.5833333333333334,0.8333333333333334,ranker_top3_no_gate,2025
