feature,importance_gain,importance_split
top5_return_contribution_share,142.1438715176717,10.870967741935484
ETF_RS_60D,136.6906105573266,12.935483870967742
ETF_RS_20D,92.70057448306152,7.846774193548387
ETF_RS_120D,89.35182204141822,9.370967741935484
weighted_component_RS_60D,87.29782035772082,7.604838709677419
median_HP,76.23523975292882,6.991935483870968
reg_coef_high_proximity,74.11043271298648,7.064516129032258
reg_residual_dispersion,66.86874557136288,6.92741935483871
median_component_return_60D,66.6110212212849,6.596774193548387
MA200_breadth,62.714081399623424,5.717741935483871
RS_slope_20D,58.01069187246744,4.935483870967742
HP_change_20D,50.91368221500588,5.645161290322581
Breadth_change_20D,50.83792678774485,5.637096774193548
reg_r2,46.0198931259013,5.008064516129032
MA60_breadth,33.38160288132607,3.5403225806451615
reg_coef_component_return_60d,32.2171347247016,3.7580645161290325
HP90_share,30.211361640786393,3.0806451612903225
weighted_HP,30.061615736313886,3.338709677419355
RS_positive_share,29.273318295712553,3.2661290322580645
top20_component_return_mean,27.49149847979988,3.153225806451613
median_component_return_20D,25.808152741962864,2.838709677419355
bottom20_component_return_mean,23.237377959393687,2.7580645161290325
median_component_RS_20D,22.59192161886923,2.774193548387097
mean_minus_median_return_20D,22.529516272620025,3.1048387096774195
weighted_component_RS_20D,20.20825635605762,2.4919354838709675
reg_coef_component_rs_60d,5.321645899886085,0.6129032258064516
