Date,AGG,BIL,BND,DBC,DIA,EEM,EFA,EWJ,EWT,EWY,FXF,FXI,FXY,GLD,IBB,IEF,IWM,IYR,LQD,MBB,QQQ,SHY,SMH,SOXX,SPY,TIP,TLT,USO,UUP,VGK,VNQ,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2009-01-02,63.05487060546875,73.95018768310547,46.72297668457031,18.54044532775879,61.742183685302734,18.28726577758789,27.30353355407715,28.316673278808594,7.895876884460449,22.05276107788086,92.3017349243164,20.828943252563477,107.79000091552734,86.2300033569336,23.080280303955078,64.7895278930664,39.79240417480469,19.985836029052734,52.338985443115234,64.46822357177734,26.78470230102539,65.151123046875,7.803849697113037,8.279895782470703,67.9813003540039,62.059295654296875,69.78999328613281,285.0400085449219,20.81818389892578,21.491640090942383,17.596649169921875,8.152124404907227,14.43265438079834,7.539522171020508,17.4423885345459,6.337082862854004,15.195684432983398,8.125531196594238,20.12621307373047,9.124207496643066
2009-01-05,64.05962371826172,73.95018768310547,46.527042388916016,18.734895706176758,61.399932861328125,18.52493667602539,26.86489486694336,27.6109619140625,7.845261573791504,22.10595703125,89.8430404663086,21.063276290893555,106.62000274658203,84.4800033569336,23.259624481201172,64.6761245727539,39.93503952026367,19.593950271606445,52.69791030883789,64.70179748535156,26.776071548461914,65.28265380859375,7.761393070220947,8.277105331420898,67.90079498291016,61.82987594604492,67.99051666259766,298.3999938964844,21.04374122619629,21.266218185424805,17.27253532409668,8.169417381286621,14.772244453430176,7.414462089538574,17.305889129638672,6.317266941070557,15.25846004486084,8.240399360656738,20.029634475708008,9.083921432495117
2009-01-06,63.70032501220703,73.96636199951172,46.2301025390625,19.225250244140625,61.70801544189453,18.944366455078125,27.153324127197266,27.346303939819336,7.926246166229248,22.622703552246094,89.55318450927734,21.130226135253906,106.05000305175781,85.12999725341797,22.763229370117188,64.63609313964844,40.60853958129883,20.565366744995117,52.7863655090332,65.06449890136719,27.043664932250977,65.31361389160156,8.135027885437012,8.723309516906738,68.35421752929688,62.2886962890625,67.30669403076172,298.0,21.010324478149414,21.651081085205078,18.13517189025879,8.352726936340332,14.933409690856934,7.533568382263184,17.68663787841797,6.463905334472656,15.03249740600586,8.122795104980469,19.702739715576172,9.237000465393066
2009-01-07,63.115753173828125,74.07939147949219,46.37260818481445,18.24454116821289,60.14045715332031,17.853843688964844,26.684640884399414,27.081676483154297,7.744033336639404,22.622703552246094,90.71257019042969,19.61710548400879,107.62000274658203,82.75,22.51344108581543,64.6493911743164,39.412071228027344,19.869930267333984,52.34419631958008,65.10132598876953,26.275432586669922,65.2672348022461,7.6722283363342285,8.313362121582031,66.30656433105469,62.36520004272461,67.57061767578125,266.1600036621094,20.87666130065918,21.255220413208008,17.526840209960938,8.159043312072754,14.30026912689209,7.140514850616455,16.896413803100586,6.257821083068848,14.881858825683594,8.057156562805176,19.524433135986328,8.870421409606934
2009-01-08,62.63468933105469,73.99864959716797,46.29542541503906,18.312179565429688,59.84611129760742,17.776952743530273,27.081209182739258,27.46394157409668,7.531450271606445,22.47071647644043,91.53215026855469,19.268953323364258,109.30000305175781,84.45999908447266,22.760032653808594,64.8228530883789,39.60222625732422,19.7816219329834,52.71876525878906,65.34112548828125,26.551652908325195,65.28265380859375,7.6679840087890625,8.304993629455566,66.5771484375,62.862266540527344,67.51666259765625,265.6000061035156,20.667810440063477,21.491640090942383,17.39720344543457,8.273175239562988,14.484455108642578,7.110738277435303,17.061641693115234,6.301413536071777,14.687281608581543,8.016131401062012,19.635883331298828,8.92279052734375
2009-01-09,62.42155838012695,74.0470962524414,46.46167755126953,18.100818634033203,58.96310806274414,17.39246940612793,26.143856048583984,26.993450164794922,7.237886905670166,21.201650619506836,89.67312622070312,18.55255889892578,110.44000244140625,83.91999816894531,22.154767990112305,65.12306213378906,38.136375427246094,18.870920181274414,53.37422180175781,65.19359588623047,25.95604133605957,65.3290786743164,7.438708305358887,8.01217269897461,65.15116119384766,63.416744232177734,67.6186294555664,258.9599914550781,20.985265731811523,20.666933059692383,16.504650115966797,8.072575569152832,13.998099327087402,6.884431838989258,16.688085556030273,6.162703514099121,14.436217308044434,7.953227519989014,19.427852630615234,8.648860931396484
2009-01-12,62.75034713745117,74.01477813720703,46.27760696411133,17.280746459960938,58.03905487060547,16.65846061706543,25.512937545776367,26.670011520385742,7.045551300048828,20.221363067626953,89.67312622070312,17.521486282348633,111.83000183105469,80.76000213623047,21.988239288330078,65.5300521850586,37.003292083740234,17.77254867553711,53.098487854003906,65.19359588623047,25.48130226135254,65.34461212158203,7.2434000968933105,7.766758441925049,63.58617401123047,63.73539733886719,68.3204574584961,245.1999969482422,21.08551025390625,20.144630432128906,15.537307739257812,7.737081527709961,13.445536613464355,6.521151542663574,16.321714401245117,6.051736354827881,14.442500114440918,7.955963134765625,19.17525863647461,8.4434175491333
2009-01-13,62.853885650634766,74.1117172241211,46.527042388916016,17.568193435668945,57.78578186035156,16.7073974609375,25.04426383972168,26.170124053955078,7.237886905670166,20.935684204101562,89.17338562011719,17.327327728271484,111.77999877929688,80.87999725341797,22.49102783203125,65.57672119140625,37.49456024169922,18.307933807373047,52.984039306640625,64.9784164428711,25.489925384521484,65.3523178100586,7.3113322257995605,7.777913570404053,63.70319747924805,63.72264099121094,68.39240264892578,254.72000122070312,21.32777976989746,19.737781524658203,16.006023406982422,7.778585910797119,13.782248497009277,6.610484600067139,16.04153823852539,6.023993492126465,14.530366897583008,7.805540084838867,19.338699340820312,8.334651947021484
2009-01-14,62.76861572265625,74.12782287597656,46.699249267578125,17.323017120361328,56.18403625488281,15.896491050720215,24.01677894592285,25.405614852905273,7.106288433074951,20.487329483032227,89.41326141357422,16.858657836914062,111.88999938964844,79.79000091552734,22.01705551147461,65.94363403320312,35.84644317626953,17.35859489440918,52.749935150146484,64.94766998291016,24.713058471679688,65.42962646484375,6.992896556854248,7.46557092666626,61.6994514465332,63.79911804199219,69.52006530761719,249.83999633789062,21.411317825317383,18.85260009765625,15.16832447052002,7.488056659698486,13.123208999633789,6.229339599609375,15.44527816772461,5.841689109802246,14.210259437561035,7.709817409515381,19.063814163208008,8.008357048034668
2009-01-15,62.762535095214844,74.1439437866211,46.497337341308594,17.306106567382812,56.252471923828125,16.078243255615234,24.233091354370117,25.729066848754883,7.005059242248535,19.932592391967773,88.87354278564453,17.146554946899414,110.87000274658203,80.38999938964844,22.51344108581543,65.89026641845703,36.42487335205078,17.860857009887695,52.854000091552734,65.03993225097656,25.11874771118164,65.36003875732422,7.1499924659729,7.599429607391357,61.721378326416016,63.79911804199219,69.63404083251953,241.44000244140625,21.402965545654297,18.990053176879883,15.666946411132812,7.709410190582275,13.287252426147461,5.943480491638184,15.588956832885742,5.881319522857666,14.273028373718262,7.7508416175842285,19.197546005249023,8.205742835998535
2009-01-16,63.085262298583984,74.09553527832031,46.56858444213867,17.382198333740234,56.69890213012695,16.253005981445312,24.377290725708008,25.90549087524414,7.065798282623291,20.3581485748291,89.39327239990234,17.374191284179688,109.88999938964844,82.70999908447266,22.673564910888672,65.28311920166016,36.8289680480957,18.51766586303711,52.854000091552734,64.85546112060547,25.394983291625977,65.39100646972656,7.476921081542969,7.911775588989258,62.20402908325195,63.537841796875,68.56036376953125,238.8800048828125,21.219175338745117,19.039527893066406,16.260326385498047,7.795876979827881,13.393732070922852,5.7648186683654785,15.675158500671387,5.920952796936035,14.404830932617188,7.903998851776123,19.360990524291992,8.302425384521484
2009-01-20,62.756507873535156,73.96636199951172,46.366695404052734,16.841115951538086,54.4498291015625,15.043646812438965,22.592710494995117,24.788116455078125,6.498913288116455,19.172677993774414,86.98453521728516,15.894537925720215,111.0,84.5199966430664,21.773670196533203,65.18311309814453,34.333030700683594,16.51412010192871,52.07366943359375,64.76942443847656,24.134721755981445,65.42194366455078,6.975912570953369,7.379116058349609,58.920494079589844,63.499549865722656,68.54833984375,229.27999877929688,21.829015731811523,17.50010108947754,14.440326690673828,7.356626987457275,12.680005073547363,4.811956882476807,14.949592590332031,5.67919921875,14.235367774963379,7.767251968383789,18.892942428588867,7.814995765686035
2009-01-21,62.42767333984375,74.09553527832031,46.045982360839844,16.908750534057617,56.39030838012695,15.861543655395508,23.69831657409668,25.876081466674805,6.924075603485107,20.054180145263672,86.5347671508789,16.805091857910156,111.4000015258789,84.1500015258789,22.545469284057617,64.60269927978516,36.044532775878906,18.158916473388672,51.813541412353516,64.54191589355469,25.161909103393555,65.32136535644531,7.137253284454346,7.560387134552002,61.465415954589844,62.53087615966797,66.38292694091797,248.24000549316406,21.63687515258789,18.330297470092773,15.951170921325684,7.616028308868408,13.531868934631348,5.520648002624512,15.330345153808594,5.952656269073486,14.30440902709961,7.854772090911865,19.294124603271484,8.052665710449219
2009-01-22,62.15974807739258,74.1117172241211,46.146942138671875,16.688936233520508,55.64976119995117,15.337248802185059,23.14551544189453,25.22918701171875,6.782355308532715,19.431053161621094,86.58473205566406,15.968188285827637,112.30000305175781,84.58000183105469,22.122737884521484,64.17572784423828,34.99862289428711,17.23716163635254,51.621097564697266,64.61572265625,24.825271606445312,65.3523178100586,6.946192264556885,7.373538494110107,60.51472091674805,62.63924789428711,65.1053237915039,240.16000366210938,21.620166778564453,17.92344093322754,15.078568458557129,7.498432159423828,13.160621643066406,5.18118953704834,15.280052185058594,5.817910671234131,14.291853904724121,7.8520355224609375,19.3758487701416,7.9519572257995605
2009-01-23,62.06232833862305,74.09553527832031,46.057891845703125,17.466739654541016,55.21094512939453,15.53298282623291,22.9832820892334,25.17037582397461,6.8127241134643555,19.07388687133789,86.3548583984375,16.403379440307617,112.12999725341797,88.52999877929688,21.850528717041016,64.18910217285156,35.17293167114258,17.783586502075195,51.27775192260742,64.50508117675781,24.94611167907715,65.33689880371094,7.247644424438477,7.688671588897705,60.77800369262695,62.868629455566406,64.5954818725586,258.6400146484375,21.611814498901367,17.7969913482666,15.537307739257812,7.612568378448486,13.543378829956055,5.353896617889404,14.820279121398926,5.901134967803955,14.153765678405762,7.868443489074707,19.3758487701416,7.927786350250244
