ticker,market_cap
2423.HK,0.0
2423HK,0.0
2693.HK,0.0
2693HK,0.0
2801.T,0.0
2801T,0.0
2802.T,0.0
2802T,0.0
285AT,0.0
2883.HK,0.0
2883HK,0.0
2B7KDE,0.0
2MU,0.0
2N81F,0.0
2X2AF,0.0
300015.SZ,0.0
300015SZ,0.0
300033.SZ,0.0
300033SZ,0.0
300059.SZ,0.0
300059SZ,0.0
300122.SZ,0.0
300122SZ,0.0
300251.SZ,0.0
300251SZ,0.0
300274.SZ,0.0
300274SZ,0.0
300308.SZ,0.0
300308SZ,0.0
300316.SZ,0.0
300316SZ,0.0
300394.SZ,0.0
300394SZ,0.0
300408.SZ,0.0
300408SZ,0.0
300413.SZ,0.0
300413SZ,0.0
300418.SZ,0.0
300418SZ,0.0
300433.SZ,0.0
300433SZ,0.0
300442.SZ,0.0
300442SZ,0.0
300476.SZ,0.0
300476SZ,0.0
300498.SZ,0.0
300498SZ,0.0
300502.SZ,0.0
300502SZ,0.0
300628.SZ,0.0
300628SZ,0.0
300661.SZ,0.0
300661SZ,0.0
300760.SZ,0.0
300760SZ,0.0
300782.SZ,0.0
300782SZ,0.0
300803.SZ,0.0
300803SZ,0.0
300832.SZ,0.0
300832SZ,0.0
300866.SZ,0.0
300866SZ,0.0
300896.SZ,0.0
300896SZ,0.0
300979.SZ,0.0
300979SZ,0.0
300999.SZ,0.0
300999SZ,0.0
301236.SZ,0.0
301236SZ,0.0
301269.SZ,0.0
301269SZ,0.0
302132.SZ,0.0
302132SZ,0.0
3086.T,0.0
3086T,0.0
3198.T,0.0
3198T,0.0
3328.HK,0.0
3328HK,0.0
3391.T,0.0
3391T,0.0
3436.T,0.0
3436T,0.0
34VF,0.0
353F,0.0
3570TWO,0.0
3606.HK,0.0
3606HK,0.0
3616.HK,0.0
3616HK,0.0
3690.HK,0.0
3690HK,0.0
3800.HK,0.0
3800HK,0.0
3808.HK,0.0
3808HK,0.0
3888.HK,0.0
3888HK,0.0
3993.HK,0.0
3993HK,0.0
3BDF,0.0
3I0F,0.0
3IF,0.0
3KYF,0.0
3RKUMU,0.0
3UEF,0.0
4004.T,0.0
4004T,0.0
4062.T,0.0
4062T,0.0
4183.T,0.0
4183T,0.0
4188.T,0.0
4188T,0.0
4204.T,0.0
4204T,0.0
4507.T,0.0
4507T,0.0
4543.T,0.0
4543T,0.0
4568.T,0.0
4568T,0.0
4578.T,0.0
4578T,0.0
4612.T,0.0
4612T,0.0
469F,0.0
4720F,0.0
4751.T,0.0
4751T,0.0
4755.T,0.0
4755T,0.0
4BV0SG,0.0
4BY0MU,0.0
4D7HA,0.0
4FMETI,0.0
4HEITI,0.0
4JPDU,0.0
4RHDU,0.0
4WFF,0.0
4Z1MU,0.0
