date,etf_ticker,market,benchmark_ticker,name,group,ranking_group,ETF_return_20D,ETF_return_60D,ETF_return_120D,benchmark_return_20D,benchmark_return_60D,benchmark_return_120D,ETF_RS_20D,ETF_RS_60D,ETF_RS_120D,RS_slope_20D,price_obs,first_price_date,sub_asset,asset_class,persistent_rs,is_mean_reversion_group,is_cyclical_group,benchmark_strong,benchmark_strong_excluded,current_v31_score,screen_rank
2026-05-29,395270.KS,KR,069500.KS,HANARO Fn K-반도체,Korea semiconductor,Korea semiconductor,0.6437343766981849,1.1938436631180185,2.8195890395012264,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.29430241633584076,0.5734684803526464,1.522789352763135,0.008970658407966936,1251,2021-07-30,domestic_equity_sector,risk,2.8531777589311966,False,False,True,False,2.8531777589311966,1
2026-05-29,363580.KS,KR,069500.KS,KODEX 200IT TR,Korea IT,Korea IT,0.655645869947276,1.3065034429992348,2.486699051584548,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.3062139095849319,0.6861282602338628,1.1898993648464566,0.007369071373362346,1469,2020-09-25,domestic_equity_sector,risk,2.7762324767546285,False,False,True,False,2.7762324767546285,2
2026-05-29,139260.KS,KR,069500.KS,TIGER 200 IT,Korea IT,Korea IT,0.6403229325769146,1.2827462886887897,2.454635286714328,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.2908909722145705,0.6623711059234176,1.1578355999762366,0.007173164835928817,3924,2011-04-06,domestic_equity_sector,risk,2.7024695270550287,False,False,True,False,2.7024695270550287,3
2026-05-29,446770.KS,US,QQQ,ACE 글로벌반도체TOP4 Plus,US semiconductor,US semiconductor,0.3355941987156361,0.5801409954111967,1.0103111940142742,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.229909338805645,0.3661011349842138,0.8246358411631476,0.008016101645282214,914,2022-11-15,overseas_equity_sector,risk,1.9862517820981618,False,False,True,False,1.9862517820981618,4
2026-05-29,456600.KS,US,QQQ,TIME 글로벌AI인공지능액티브,US growth,US growth,0.2687374015026571,0.693408340467164,0.8871990307269728,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.16305254159266602,0.4793684800401812,0.7015236778758462,0.003972186975409732,784,2023-05-16,overseas_equity_index,risk,1.9554089808220407,False,False,True,False,1.9554089808220407,5
2026-05-29,381180.KS,US,QQQ,TIGER 미국필라델피아반도체나스닥,US semiconductor,US semiconductor,0.2784555401836246,0.6784824718605984,0.8020436142974057,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.17277068027363351,0.46444261143361554,0.6163682614462791,0.006763489248878327,1331,2021-04-09,overseas_equity_sector,risk,1.9215676425733355,False,False,True,False,1.9215676425733355,6
2026-05-29,395160.KS,KR,069500.KS,KODEX AI반도체,Korea semiconductor,Korea semiconductor,0.6132613261326132,0.913472060354261,2.1185381942835755,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.26382936577026905,0.2930968775888889,0.8217385075454842,0.00764912948104776,1251,2021-07-30,domestic_equity_sector,risk,1.8983992461146189,False,False,True,False,1.8983992461146189,7
2026-05-29,390390.KS,US,QQQ,KODEX 미국반도체,US semiconductor,US semiconductor,0.23546974522292996,0.559263854973012,0.6955581701025813,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.12978488531293886,0.34522399454602914,0.5098828172514547,0.005386604334482961,1273,2021-06-30,overseas_equity_sector,risk,1.6125537023217202,False,False,True,False,1.6125537023217202,8
2026-05-29,497570.KS,US,QQQ,TIGER 미국필라델피아AI반도체나스닥,US semiconductor,US semiconductor,0.2140029688273133,0.4576314139323623,0.5178971203089753,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.10831810891732219,0.24359155350537942,0.3322217674578487,0.004492217873543173,388,2024-11-26,overseas_equity_sector,risk,1.3051880874332538,False,False,True,False,1.3051880874332538,9
2026-05-29,287180.KS,US,QQQ,PLUS 미국나스닥테크,US growth,US growth,0.21770091556459814,0.4342370360898544,0.33945244146539677,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.11201605565460704,0.22019717566287156,0.1537770886142702,0.004982212942647492,2190,2017-12-13,overseas_equity_index,risk,1.1554728569126305,False,False,True,False,1.1554728569126305,10
