ticker,name,asset_class,sub_asset,target_weight,score,date,etf_ticker,name_screen,group,ranking_group,sub_asset_screen,screen_rank,benchmark_strong,benchmark_strong_excluded,ETF_return_20D,ETF_return_60D,ETF_return_120D,ETF_RS_20D,ETF_RS_60D,ETF_RS_120D,RS_slope_20D,weighted_HP,HP90_share,weighted_component_RS_20D,RS_positive_share,MA60_breadth,MA200_breadth,Breadth_change_20D,current_v31_score
363580.KS,KODEX 200IT TR,risk,domestic_equity_sector,0.2,3.8041258178352706,2026-05-29,363580.KS,KODEX 200IT TR,Korea IT,Korea IT,domestic_equity_sector,1,True,False,0.655645869947276,1.3065034429992348,2.486699051584548,0.3062139095849319,0.6861282602338628,1.1898993648464566,0.007369071373362346,0.9468501070320694,0.8029337332458524,0.3194082161538652,0.7527884525260099,0.8104789577279969,1.0,-0.18295997750492088,3.8041258178352706
139260.KS,TIGER 200 IT,risk,domestic_equity_sector,0.01428571428571429,3.7301885919866287,2026-05-29,139260.KS,TIGER 200 IT,Korea IT,Korea IT,domestic_equity_sector,2,True,False,0.6403229325769146,1.2827462886887897,2.454635286714328,0.2908909722145705,0.6623711059234176,1.1578355999762366,0.007173164835928817,0.9468461757695713,0.8028519161311507,0.31947892040743764,0.7528495708053851,0.810403865096862,1.0,-0.18307612927435635,3.7301885919866287
446770.KS,ACE 글로벌반도체TOP4 Plus,risk,overseas_equity_sector,0.14285714285714288,3.5028814864757716,2026-05-29,446770.KS,ACE 글로벌반도체TOP4 Plus,US semiconductor,US semiconductor,overseas_equity_sector,3,True,False,0.3355941987156361,0.5801409954111967,1.0103111940142742,0.229909338805645,0.3661011349842138,0.8246358411631476,0.008016101645282214,0.9996617179964425,0.9969045533276534,0.505193753689616,0.9959416287660299,1.0,1.0,0.0,3.5028814864757716
381180.KS,TIGER 미국필라델피아반도체나스닥,risk,overseas_equity_index,0.2,2.897728403022019,2026-05-29,381180.KS,TIGER 미국필라델피아반도체나스닥,US semiconductor,US semiconductor,overseas_equity_index,5,True,False,0.2784555401836246,0.6784824718605984,0.8020436142974057,0.17277068027363351,0.46444261143361554,0.6163682614462791,0.006763489248878327,0.9475064162753521,0.5571372245969085,0.17312183147242258,0.5157032831522448,1.0,1.0,0.0,2.897728403022019
133690.KS,TIGER 미국나스닥100,risk,overseas_equity_index,0.2,1.3645920059875576,2026-05-29,133690.KS,TIGER 미국나스닥100,US growth,US growth,overseas_equity_index,13,True,False,0.13458621270857907,0.244841525538819,0.2078026536468558,0.028901352798587965,0.03080166511183613,0.02212730079572922,0.002121254647057842,0.901215388733115,0.4695677439056407,0.09013249029844983,0.5243754214497199,0.8631518539462216,0.8200871895668951,-0.030287400059436864,1.3645920059875576
379810.KS,KODEX 미국나스닥100,risk,overseas_equity_index,0.02857142857142858,1.2768079251212439,2026-05-29,379810.KS,KODEX 미국나스닥100,US growth,US growth,overseas_equity_index,14,True,False,0.13529742916119347,0.2459883286741511,0.20918059121498445,0.02961256925120237,0.03194846824716824,0.023505238363857872,0.002149975328774138,0.8849330953878917,0.38322991043526855,0.07699671833504886,0.44529083284353643,0.8563442208464426,0.7660037479122396,-0.027986639806260816,1.2768079251212439
156080.KS,KODEX MSCI Korea,risk,domestic_equity_index,0.2,0.3941786667655721,2026-05-29,156080.KS,KODEX MSCI Korea,Korea broad equity,Korea broad equity,domestic_equity_index,51,True,False,0.3765225827314864,0.631492467861926,1.358928584958179,0.02709062236914228,0.011117285096553964,0.0621288982200876,0.0006116810466854015,0.8317668880531701,0.2830542479754772,-0.2843853505962153,0.17636057148131412,0.5043210866111894,0.7677932096516412,-0.14881637689396743,0.3941786667655721
278540.KS,KODEX MSCI Korea TR,risk,domestic_equity_index,0.014285714285714235,0.3924449402164995,2026-05-29,278540.KS,KODEX MSCI Korea TR,Korea broad equity,Korea broad equity,domestic_equity_index,52,True,False,0.3696648524778001,0.6321897934801162,1.365322780113777,0.02023289211545598,0.0118146107147441,0.06852309337568574,0.0003266262434717746,0.8321983732169346,0.2842394877163934,-0.28368554015523334,0.17680114922938325,0.5060407586861776,0.7691802001412188,-0.14723284069051146,0.3924449402164995
