pdf_color_group,sub_asset,screen_rank,etf_ticker,name,current_v31_score,ETF_RS_20D,ETF_RS_60D,MA60_breadth,HP90_share
국내주식_섹터,domestic_equity_sector,1,363580.KS,KODEX 200IT TR,3.804125817835271,0.3062139095849319,0.6861282602338628,0.8104789577279969,0.8029337332458524
국내주식_섹터,domestic_equity_sector,2,139260.KS,TIGER 200 IT,3.7301885919866287,0.2908909722145705,0.6623711059234176,0.810403865096862,0.8028519161311507
해외주식_섹터,overseas_equity_sector,3,446770.KS,ACE 글로벌반도체TOP4 Plus,3.502881486475772,0.229909338805645,0.3661011349842138,1.0,0.9969045533276534
해외주식_섹터,overseas_equity_sector,4,456600.KS,TIME 글로벌AI인공지능액티브,3.3733454264871,0.163052541592666,0.4793684800401812,0.9400127735349671,0.913045917658112
해외주식_지수,overseas_equity_index,5,381180.KS,TIGER 미국필라델피아반도체나스닥,2.897728403022019,0.1727706802736335,0.4644426114336155,1.0,0.5571372245969085
해외주식_섹터,overseas_equity_sector,6,390390.KS,KODEX 미국반도체,2.5933641655155557,0.1297848853129388,0.3452239945460291,1.0,0.5720898410803008
국내주식_섹터,domestic_equity_sector,7,395270.KS,HANARO Fn K-반도체,2.321878203843094,0.2943024163358407,0.5734684803526464,0.3766348861476007,0.1062908274846695
해외주식_섹터,overseas_equity_sector,8,287180.KS,PLUS 미국나스닥테크,2.103726021536467,0.112016055654607,0.2201971756628715,0.9795999094313642,0.5872033330591101
해외주식_섹터,overseas_equity_sector,9,497570.KS,TIGER 미국필라델피아AI반도체나스닥,2.0166978463223213,0.1083181089173221,0.2435915535053794,1.0,0.4718325870956939
해외주식_섹터,overseas_equity_sector,10,463680.KS,KODEX 미국S&P500테크놀로지,1.8370531427836587,0.0952520237192002,0.1695584476227407,0.9777090118077434,0.4373348414820002
국내주식_섹터,domestic_equity_sector,11,395160.KS,KODEX AI반도체,1.7224635451779455,0.263829365770269,0.2930968775888889,0.6218432937078516,0.2364972964215558
국내주식_섹터,domestic_equity_sector,12,315930.KS,KODEX Top5PlusTR,1.5306779133805462,0.0643052710571698,0.029682373557601,0.8502740150966809,0.8230793092751526
해외주식_지수,overseas_equity_index,13,133690.KS,TIGER 미국나스닥100,1.3645920059875576,0.0289013527985879,0.0308016651118361,0.8631518539462216,0.4695677439056407
해외주식_지수,overseas_equity_index,14,379810.KS,KODEX 미국나스닥100,1.276807925121244,0.0296125692512023,0.0319484682471682,0.8563442208464426,0.3832299104352685
해외주식_지수,overseas_equity_index,15,367380.KS,ACE 미국나스닥100,1.2690334418663118,0.0285849865454155,0.0304732357535579,0.8612242690467274,0.3743270524805948
해외주식_지수,overseas_equity_index,16,448300.KS,TIGER 미국나스닥100TR(H),1.2295916153980837,0.0097269880956731,-0.0086308553285918,0.8631518539462216,0.4695677439056407
해외주식_지수,overseas_equity_index,17,304940.KS,KODEX 미국나스닥100선물(H),1.220432794574113,0.0088100643702551,-0.0101930151995874,1.0,1.0
해외주식_지수,overseas_equity_index,18,241180.KS,TIGER 일본니케이225,1.1538950303272162,0.0461889073483916,0.0134459924428635,0.7203361890835128,0.4652265429573402
해외주식_섹터,overseas_equity_sector,19,494410.KS,PLUS 미국S&P500성장주,1.1488022977096797,0.0043151400900089,-0.0081552073388857,0.8406384085921417,0.4451558885643449
해외주식_지수,overseas_equity_index,20,238720.KS,ACE 일본Nikkei225(H),1.1471479254006682,0.0208338316787939,0.0065930509654221,0.7496005752472534,0.4779705531929762
해외주식_섹터,overseas_equity_sector,21,465580.KS,ACE 미국빅테크TOP7 Plus,1.1233983097626263,-0.0235907470560494,0.0023558345581327,0.9584044090141736,0.2667793781776014
