year,cumulative_return,cumulative_excess_return,CAGR,MDD,Sharpe,hit_excess
2016,0.10826359515005923,-0.06548580820082395,0.10826359515005923,-0.039879504022194756,1.3870609423637263,0.25
2017,0.2093965803223734,-0.03670517188299405,0.2093965803223734,-0.02300864868832253,2.726553572375435,0.3333333333333333
2018,-0.08278916251970847,0.0926767509387092,-0.08278916251970847,-0.13622372964198537,-0.5629480473238533,0.5833333333333334
2019,0.22571813477024305,0.08795631247919466,0.22571813477024305,-0.05189908001319454,1.9177636218235163,0.6666666666666666
2020,0.44537428335629836,-0.022988348673482983,0.44537428335629836,-0.10405859605245149,1.6098435109747526,0.3333333333333333
2021,0.09269298256815084,0.11024367326687168,0.09269298256815084,-0.05719620166282724,1.0672631407328408,0.75
2022,0.008125593962875266,0.07365221785392162,0.008125593962875266,-0.14154656353882789,0.12713455077887206,0.75
2023,0.07189733255013753,0.03665878380540333,0.07189733255013753,-0.06171215421446685,0.6969498078030463,0.5
2024,0.333625919130883,0.23248048895732043,0.333625919130883,-0.032100251932234536,2.509028250797711,0.9166666666666666
2025,0.6758259152795802,-0.18541233714202532,0.6758259152795802,-0.03287564671168397,2.7343384308043723,0.3333333333333333
2026,0.482214240559373,-0.10146248417819348,2.256363997123837,-0.0832286387652954,2.9204369907077066,0.25
