date,etf_ticker,market,benchmark_ticker,name,group,ranking_group,pdf_asset_class,pdf_sub_asset,pdf_sub_asset_kr,ETF_return_20D,ETF_return_60D,ETF_return_120D,benchmark_return_20D,benchmark_return_60D,benchmark_return_120D,ETF_RS_20D,ETF_RS_60D,ETF_RS_120D,RS_slope_20D,price_obs,first_price_date,weighted_HP,median_HP,HP90_share,HP_change_20D,weighted_component_RS_20D,weighted_component_RS_60D,median_component_RS_20D,RS_positive_share,MA60_breadth,MA200_breadth,Breadth_change_20D,median_component_return_20D,median_component_return_60D,holding_count,effective_N,sub_asset,asset_class,policy_benchmark_return_20D,group_benchmark_return_20D,policy_RS_20D,group_RS_20D,blended_RS_20D,policy_benchmark_return_60D,group_benchmark_return_60D,policy_RS_60D,group_RS_60D,blended_RS_60D,policy_benchmark_return_120D,group_benchmark_return_120D,policy_RS_120D,group_RS_120D,blended_RS_120D,persistent_rs,is_mean_reversion_group,is_cyclical_group,benchmark_strong,benchmark_strong_excluded,current_v31_score,screen_rank
2026-05-29,363580.KS,KR,069500.KS,KODEX 200IT TR,Korea IT,Korea IT,risk,domestic_equity_sector,국내주식_섹터,0.655645869947276,1.3065034429992348,2.486699051584548,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.3062139095849319,0.6861282602338628,1.1898993648464566,0.007369071373362346,1469,2020-09-25,0.9468501070320694,1.0,0.8029337332458524,0.3531258787140316,0.3194082161538652,0.5138247612998501,0.1185919736069394,0.7527884525260099,0.8104789577279969,1.0,-0.18295997750492088,0.46802393396928355,0.8242830994508847,13,4.936746488147169,domestic_equity_sector,risk,0.11787876972162385,0.089642849561123,0.5377671002256522,0.566003020386153,0.5490614682898526,0.22197825220169393,0.30202483707192235,1.0845251907975408,1.0044786059273125,1.0525065568494494,0.4892948334295685,0.7241967451003659,1.9974042181549794,1.762502306484182,1.9034434534866604,3.763623236023497,False,False,True,False,4.791516577104139,1
2026-05-29,139260.KS,KR,069500.KS,TIGER 200 IT,Korea IT,Korea IT,risk,domestic_equity_sector,국내주식_섹터,0.6403229325769146,1.2827462886887897,2.454635286714328,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.2908909722145705,0.6623711059234176,1.1578355999762366,0.007173164835928817,3924,2011-04-06,0.9468461757695713,1.0,0.8028519161311507,0.35348749941366875,0.31947892040743764,0.5134720590783277,0.1185919736069394,0.7528495708053851,0.810403865096862,1.0,-0.18307612927435635,0.46802393396928355,0.8242830994508847,13,4.930740857276084,domestic_equity_sector,risk,0.11787876972162385,0.089642849561123,0.5224441628552908,0.5506800830157916,0.5337385309194911,0.22197825220169393,0.30202483707192235,1.0607680364870957,0.9807214516168674,1.0287494025390043,0.4892948334295685,0.7241967451003659,1.9653404532847594,1.730438541613962,1.8713796886164404,3.6862997628862093,False,False,True,False,4.714018827817809,2
2026-05-29,395270.KS,KR,069500.KS,HANARO Fn K-반도체,Korea semiconductor,Korea semiconductor,risk,domestic_equity_sector,국내주식_섹터,0.6437343766981849,1.1938436631180185,2.8195890395012264,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.29430241633584076,0.5734684803526464,1.522789352763135,0.008970658407966936,1251,2021-07-30,0.7821103886128271,0.7993019197207679,0.10629082748466952,-0.5750511013593675,-0.35601589124772814,-0.47820463719389017,-0.39558580651619024,0.10766305979216392,0.37663488614760077,0.8082162409411229,-0.6189339470261154,-0.0461538461538461,-0.00189753320683117,19,10.142170943765917,domestic_equity_sector,risk,0.11787876972162385,0.089642849561123,0.5258556069765611,0.5540915271370619,0.5371499750407613,0.22197825220169393,0.30202483707192235,0.9718654109163245,0.8918188260460962,0.9398467769682332,0.4892948334295685,0.7241967451003659,2.330294206071658,2.0953922944008605,2.236333441403339,3.8403425622470486,False,False,True,False,3.309043007158946,3
2026-05-29,446770.KS,US,QQQ,ACE 글로벌반도체TOP4 Plus,US semiconductor,US semiconductor,risk,overseas_equity_sector,해외주식_섹터,0.3355941987156361,0.5801409954111967,1.0103111940142742,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.229909338805645,0.3661011349842138,0.8246358411631476,0.008016101645282214,914,2022-11-15,0.9996617179964425,0.9980794348796773,0.9969045533276534,-0.0030954466723466245,0.505193753689616,0.8195294254145963,0.19296773578997062,0.9959416287660299,1.0,1.0,0.0,0.28813939020071677,0.6389258199921166,8,1.9917756392715829,overseas_equity_sector,risk,0.11787876972162385,0.08095668211647015,0.21771542899401225,0.25463751659916595,0.23248426403607375,0.22197825220169393,0.1656145676659739,0.35816274320950275,0.41452642774522275,0.38070821702379076,0.4892948334295685,0.23041814269889116,0.5210163605847057,0.779893051315383,0.6245670368769767,1.5108218772967732,False,False,True,False,3.027451581674383,4
2026-05-29,456600.KS,US,QQQ,TIME 글로벌AI인공지능액티브,US growth,US growth,risk,overseas_equity_sector,해외주식_섹터,0.2687374015026571,0.693408340467164,0.8871990307269728,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.16305254159266602,0.4793684800401812,0.7015236778758462,0.003972186975409732,784,2023-05-16,0.9803945991984223,0.8941492423839332,0.9130459176581119,-0.08338177591640172,0.45798914748691116,0.8418322534686493,0.010874125842442295,0.8885172980447661,0.9400127735349673,0.9986591426205569,-0.05998722646503274,0.10604578025318845,0.5561725762531587,24,2.7352156677173927,overseas_equity_sector,risk,0.11787876972162385,0.08095668211647015,0.15085863178103326,0.18778071938618696,0.16562746682309476,0.22197825220169393,0.1656145676659739,0.4714300882654701,0.5277937728011901,0.4939755620797581,0.4892948334295685,0.23041814269889116,0.39790419729740434,0.6567808880280817,0.5014548735896752,1.4747490617935248,False,False,True,False,2.8926855074585838,5
2026-05-29,395160.KS,KR,069500.KS,KODEX AI반도체,Korea semiconductor,Korea semiconductor,risk,domestic_equity_sector,국내주식_섹터,0.6132613261326132,0.913472060354261,2.1185381942835755,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.26382936577026905,0.2930968775888889,0.8217385075454842,0.00764912948104776,1251,2021-07-30,0.8038943719858418,0.8006088280060882,0.23649729642155587,-0.4295348224953926,-0.28984331936611,-0.26867279609394523,-0.3961447631305103,0.10081208610947982,0.6218432937078516,0.7948925656655663,-0.3676664168978715,-0.04671280276816614,-0.00189753320683117,23,9.832858848623143,domestic_equity_sector,risk,0.11787876972162385,0.089642849561123,0.4953825564109893,0.5236184765714902,0.5066769244751896,0.22197825220169393,0.30202483707192235,0.691493808152567,0.6114472232823387,0.6594751742044757,0.4892948334295685,0.7241967451003659,1.629243360854007,1.3943414491832096,1.535282596185688,2.855507758175806,False,False,True,False,2.679572057239133,6
2026-05-29,381180.KS,US,QQQ,TIGER 미국필라델피아반도체나스닥,US semiconductor,US semiconductor,risk,overseas_equity_index,해외주식_지수,0.2784555401836246,0.6784824718605984,0.8020436142974057,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.17277068027363351,0.46444261143361554,0.6163682614462791,0.006763489248878327,1331,2021-04-09,0.9475064162753521,0.9497638011541893,0.5571372245969085,-0.413366487568957,0.17312183147242258,0.5970014895236273,0.019470782560949695,0.5157032831522448,1.0,1.0,0.0,0.11464243697169585,0.5338181628647549,23,5.791486946469267,overseas_equity_index,risk,0.11787876972162385,0.06055688889194477,0.16057677046200075,0.21789865129167985,0.1835055227938724,0.22197825220169393,0.10116444299014907,0.4565042196589045,0.5773180288704494,0.5048297433435225,0.4892948334295685,0.0958069158918265,0.3127487808678372,0.7062366984055792,0.470143947882934,1.5261317243327328,False,False,True,False,2.5022924847814165,7
2026-05-29,315930.KS,KR,069500.KS,KODEX Top5PlusTR,Korea IT,Korea IT,risk,domestic_equity_sector,국내주식_섹터,0.413737231419514,0.6500575563229731,1.42953995157385,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.06430527105716988,0.02968237355760106,0.13274026483575874,0.002522421444191013,1905,2019-01-22,0.9680934007166407,0.8973123768711982,0.8230793092751526,-0.020370178885327217,0.11753302227946603,0.20558583726543078,-0.38733719727007476,0.7734463861027816,0.8502740150966809,0.9688760210939924,-0.07724123668700233,-0.03790523690773062,0.057651211071583,9,3.9147069638350525,domestic_equity_sector,risk,0.11787876972162385,0.089642849561123,0.29585846169789015,0.324094381858391,0.30715282976209046,0.22197825220169393,0.30202483707192235,0.4280793041212792,0.3480327192510508,0.3960606701731878,0.4892948334295685,0.7241967451003659,0.9402451181442816,0.7053432064734841,0.8462843534759625,1.6876684686532577,False,False,True,False,2.4383202916835955,8
2026-05-29,390390.KS,US,QQQ,KODEX 미국반도체,US semiconductor,US semiconductor,risk,overseas_equity_sector,해외주식_섹터,0.23546974522292996,0.559263854973012,0.6955581701025813,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.12978488531293886,0.34522399454602914,0.5098828172514547,0.005386604334482961,1273,2021-06-30,0.947557898080474,0.9562679578253839,0.5720898410803008,-0.3889029415877918,0.1739592557350103,0.5950677328158616,0.011997029891637312,0.5034010357638433,1.0,1.0,0.0,0.10716868430238347,0.5012387406210066,20,5.643409025473405,overseas_equity_sector,risk,0.11787876972162385,0.08095668211647015,0.11759097550130611,0.1545130631064598,0.1323598105433676,0.22197825220169393,0.1656145676659739,0.3372856027713181,0.3936492873070381,0.3598310765856061,0.4892948334295685,0.23041814269889116,0.20626333667301278,0.4651400274036901,0.3098140129652837,1.1180188697005042,False,False,True,False,2.098829332894339,9
2026-05-29,102780.KS,KR,069500.KS,KODEX 삼성그룹,Korea IT,Korea IT,risk,domestic_equity_sector,국내주식_섹터,0.44273127753303965,0.7989171522909748,1.384020861319951,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.0932993171706955,0.17854196952560275,0.08722117458185963,0.002253123433543328,4250,2010-01-04,0.8333688891243975,0.8214285714285714,0.310874749233506,-0.35220863772285105,-0.27005926075873726,-0.23331278029136773,-0.3531984387050937,0.2544002422498958,0.529694538021878,0.5510428100987923,0.044513418373140434,-0.0037664783427495685,0.31034482758620685,15,7.786538473917416,domestic_equity_sector,risk,0.11787876972162385,0.089642849561123,0.3248525078114158,0.35308842797191664,0.3361468758756161,0.22197825220169393,0.30202483707192235,0.5769389000892808,0.49689231521905247,0.5449202661411895,0.4892948334295685,0.7241967451003659,0.8947260278903825,0.659824116219585,0.8007652632220634,1.9088780830945862,False,False,True,False,1.8145035532607166,10
